time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
0.0120,-0.81975,1.44632,9.96115
0.0278,-0.72084,1.46606,9.78574
0.0279,-0.67908,1.56566,9.52664
0.0445,-0.71602,1.47176,9.39471
0.0471,-0.75912,1.47351,9.35477
0.0570,-0.78577,1.46201,9.34038
0.0667,-0.79709,1.50220,9.42986
0.0766,-0.85298,1.46794,9.75890
0.0874,-0.77948,1.41878,10.04750
0.0982,-0.84731,1.45302,10.11728
0.1075,-0.89914,1.45172,9.87746
0.1174,-0.86574,1.44484,9.60498
0.1272,-0.75381,1.49760,9.35506
0.1372,-0.65164,1.50140,9.22174
0.1470,-0.63222,1.46838,9.31351
0.1572,-0.60300,1.39668,9.61554
0.1671,-0.70216,1.40004,9.77783
0.1804,-0.76669,1.36613,9.80202
0.1853,-0.85764,1.34286,9.74152
0.1956,-0.92963,1.36505,9.64847
0.2051,-0.85664,1.39316,9.65456
0.2149,-0.80225,1.44041,9.65756
0.2258,-0.78731,1.46191,9.68755
0.2354,-0.70955,1.48228,9.64655
0.2458,-0.64314,1.52820,9.65475
0.2553,-0.65463,1.51233,9.60815
0.2654,-0.61108,1.51070,9.54681
0.2756,-0.64496,1.51588,9.55342
0.2971,-0.75443,1.43488,9.66812
0.2972,-0.81587,1.37262,9.73016
0.3037,-0.86917,1.37991,9.75613
0.3133,-0.83167,1.38191,9.69408
0.3233,-0.77263,1.39531,9.60025
0.3329,-0.71068,1.44096,9.62053
0.3430,-0.77614,1.43831,9.58794
0.3530,-0.83755,1.40111,9.60495
0.3633,-0.79459,1.40884,9.60518
0.3729,-0.76543,1.41927,9.65958
0.3827,-0.75917,1.42538,9.67908
0.3929,-0.77914,1.41583,9.65050
0.4030,-0.74715,1.42525,9.58122
0.4131,-0.73045,1.43715,9.61021
0.4235,-0.71950,1.44800,9.53503
0.4331,-0.72964,1.45074,9.58466
0.4425,-0.76003,1.47318,9.67101
0.4526,-0.75053,1.44919,9.72321
0.4629,-0.74190,1.44695,9.72894
0.4731,-0.74237,1.48189,9.63618
0.4829,-0.71123,1.47894,9.57149
0.4928,-0.70712,1.50980,9.46661
0.5032,-0.73674,1.49887,9.47618
0.5121,-0.74878,1.51794,9.56007
0.5226,-0.73380,1.46751,9.65488
0.5327,-0.68787,1.50081,9.65816
0.5456,-0.73262,1.48877,9.60779
0.5507,-0.78041,1.46230,9.60292
0.5608,-0.80650,1.45586,9.65417
0.5705,-0.77180,1.48619,9.69162
0.5806,-0.71179,1.46973,9.74323
0.5905,-0.69267,1.45128,9.75679
0.6012,-0.71553,1.42992,9.61053
0.6112,-0.70709,1.43472,9.57484
0.6214,-0.75108,1.45030,9.60983
0.6311,-0.77658,1.45100,9.58961
0.6418,-0.82053,1.43535,9.66872
0.6513,-0.81526,1.45540,9.69771
0.6617,-0.70747,1.49207,9.65652
0.6840,-0.71086,1.49603,9.54686
0.6841,-0.71451,1.47198,9.45110
0.6904,-0.74615,1.46155,9.51039
0.6992,-0.73001,1.43869,9.55573
0.7090,-0.71779,1.43335,9.64532
0.7203,-0.68576,1.45329,9.66254
0.7300,-0.75938,1.43909,9.61160
0.7397,-0.75708,1.41846,9.59502
0.7501,-0.76036,1.44560,9.67061
0.7597,-0.78543,1.43945,9.71928
0.7691,-0.79735,1.41354,9.75801
0.7878,-0.73264,1.48535,9.65730
0.7951,-0.68477,1.50916,9.59755
0.8140,-0.65965,1.49907,9.59583
0.8142,-0.72678,1.45702,9.61797
0.8260,-0.74849,1.45131,9.61279
0.8327,-0.78577,1.45329,9.57640
0.8423,-0.75529,1.48857,9.60132
0.8522,-0.77263,1.49106,9.60150
0.8633,-0.76720,1.49619,9.65872
0.8729,-0.72507,1.46832,9.64198
0.8825,-0.68954,1.49045,9.59746
0.8925,-0.69891,1.48111,9.62068
0.9024,-0.75104,1.44417,9.64180
0.9124,-0.78618,1.45346,9.72081
0.9309,-0.80769,1.44241,9.73106
0.9311,-0.81041,1.44781,9.68259
0.9415,-0.76530,1.50676,9.56244
0.9519,-0.74530,1.48337,9.49356
0.9612,-0.74080,1.46510,9.65854
0.9713,-0.79558,1.44640,9.71803
0.9870,-0.79213,1.40620,9.77260
0.9971,-0.76723,1.46461,9.70558
1.0069,-0.75688,1.47118,9.55611
1.0172,-0.80630,1.43669,9.40579
1.0271,-0.79967,1.46771,9.43639
1.0369,-0.74176,1.46368,9.55135
1.0469,-0.74173,1.49574,9.59795
1.0744,-0.73843,1.48181,9.65605
1.0747,-0.75414,1.48717,9.68372
1.0772,-0.75224,1.49840,9.70573
1.0853,-0.78052,1.51088,9.65733
1.0946,-0.81122,1.53360,9.57628
1.1048,-0.75624,1.56599,9.63185
1.1145,-0.70102,1.53653,9.64391
1.1252,-0.69606,1.46591,9.74600
1.1351,-0.77357,1.43474,9.72350
1.1453,-0.76227,1.42101,9.67949
1.1552,-0.75464,1.40189,9.72803
1.1680,-0.72444,1.40259,9.72604
1.1753,-0.74861,1.41220,9.65845
1.2024,-0.64674,1.45500,9.59796
1.2027,-0.62660,1.48799,9.58469
1.2047,-0.75838,1.43626,9.42326
1.2156,-0.74556,1.45996,9.35609
1.2244,-0.75764,1.48929,9.41830
1.2334,-0.75294,1.50336,9.45790
1.2433,-0.74573,1.47530,9.56818
1.2529,-0.75055,1.50676,9.67207
1.2640,-0.75362,1.50443,9.74042
1.2737,-0.76541,1.48805,9.74365
1.2839,-0.76869,1.47310,9.77260
1.2935,-0.77344,1.46219,9.70824
1.3160,-0.71027,1.47668,9.60643
1.3166,-0.70200,1.49719,9.58113
1.3238,-0.74031,1.50346,9.56575
1.3343,-0.80919,1.46962,9.64200
1.3419,-0.81622,1.50439,9.65280
1.3516,-0.71399,1.54076,9.72687
1.3619,-0.71074,1.55931,9.81012
1.3718,-0.79141,1.50664,9.77336
1.3821,-0.82881,1.49086,9.52599
1.3927,-0.81282,1.54398,9.35265
1.4022,-0.72784,1.54578,9.36079
1.4123,-0.70969,1.50896,9.47296
1.4228,-0.78415,1.45053,9.51106
1.4317,-0.78026,1.45091,9.59138
1.4505,-0.80290,1.40314,9.77922
1.4526,-0.71701,1.43604,9.72285
1.4607,-0.71086,1.44160,9.68471
1.4710,-0.80487,1.39990,9.64661
1.4801,-0.81151,1.40436,9.59863
1.4905,-0.77242,1.45863,9.53467
1.5008,-0.75464,1.47928,9.58340
1.5105,-0.78926,1.43198,9.75783
1.5216,-0.82971,1.43019,9.85301
1.5306,-0.86284,1.43872,9.77576
1.5412,-0.84242,1.47079,9.63857
1.5533,-0.79550,1.48090,9.46210
1.5608,-0.69690,1.49719,9.61931
1.5859,-0.76648,1.45177,9.76041
1.5865,-0.77103,1.43970,9.70821
1.5959,-0.75240,1.40457,9.77342
1.6048,-0.79707,1.42455,9.81221
1.6138,-0.83411,1.42061,9.63965
1.6250,-0.87158,1.44487,9.51343
1.6349,-0.82526,1.46399,9.52934
1.6446,-0.76892,1.49217,9.53188
1.6549,-0.80585,1.48093,9.52713
1.6645,-0.80698,1.48718,9.51883
1.6742,-0.83070,1.47360,9.56743
1.6842,-0.84189,1.44588,9.52715
1.7070,-0.83971,1.46675,9.49757
1.7073,-0.80820,1.50247,9.49612
1.7150,-0.67360,1.49852,9.52138
1.7234,-0.68913,1.47810,9.68091
1.7329,-0.79236,1.42795,9.74109
1.7427,-0.83702,1.41237,9.71049
1.7530,-0.84848,1.47130,9.65677
1.7628,-0.85738,1.46300,9.63963
1.7730,-0.77942,1.49620,9.63632
1.7829,-0.84872,1.49831,9.69780
1.7928,-0.86852,1.46333,9.69386
1.8029,-0.81444,1.49318,9.63065
1.8124,-0.79523,1.47113,9.55675
1.8383,-0.81346,1.46782,9.53813
1.8385,-0.78694,1.43651,9.57727
1.8418,-0.79431,1.40248,9.70160
1.8509,-0.82156,1.38669,9.74962
1.8608,-0.84888,1.39731,9.75655
1.8708,-0.87689,1.40318,9.70546
1.8821,-0.80838,1.42783,9.64368
1.8916,-0.78535,1.48636,9.58430
1.9018,-0.78706,1.50652,9.57144
1.9119,-0.77510,1.49745,9.60800
1.9215,-0.73254,1.52669,9.56772
1.9314,-0.74037,1.52736,9.59831
1.9416,-0.79329,1.49855,9.57898
1.9627,-0.82483,1.45776,9.64885
1.9657,-0.83440,1.41698,9.73442
1.9754,-0.82976,1.37462,9.76314
1.9853,-0.78822,1.37955,9.76228
1.9951,-0.77113,1.39320,9.75638
2.0052,-0.78384,1.37489,9.67674
2.0152,-0.80038,1.39597,9.63547
2.0260,-0.79463,1.41861,9.53905
2.0353,-0.80521,1.46767,9.47902
2.0449,-0.80647,1.47281,9.43506
2.0547,-0.83823,1.46959,9.48354
2.0652,-0.77806,1.49390,9.59276
2.0920,-0.80786,1.47760,9.53778
2.0923,-0.85236,1.46530,9.53474
2.0951,-0.82599,1.43962,9.63315
2.1037,-0.79324,1.44153,9.74706
2.1128,-0.82462,1.45767,9.77196
2.1238,-0.83221,1.44284,9.71271
2.1337,-0.82864,1.44002,9.70120
2.1441,-0.78705,1.48619,9.76160
2.1538,-0.85350,1.46910,9.71866
2.1671,-0.88420,1.46443,9.69109
2.1739,-0.78201,1.53093,9.67595
2.1829,-0.77867,1.53319,9.64386
2.1930,-0.77303,1.51775,9.57155
2.2155,-0.79124,1.49432,9.49529
2.2159,-0.76723,1.48779,9.47189
2.2232,-0.82213,1.46608,9.49289
2.2328,-0.85188,1.44177,9.51695
2.2429,-0.81174,1.43224,9.64977
2.2525,-0.82851,1.42093,9.73576
2.2623,-0.80092,1.42131,9.77866
2.2730,-0.75520,1.43108,9.71501
2.2821,-0.71906,1.45996,9.66109
2.2923,-0.79251,1.43651,9.60228
2.3018,-0.81001,1.42555,9.58597
2.3128,-0.78770,1.47124,9.62985
2.3374,-0.80095,1.46413,9.67593
2.3376,-0.87267,1.40709,9.65532
2.3404,-0.82210,1.43677,9.61218
2.3508,-0.73758,1.50436,9.64801
2.3651,-0.79308,1.42548,9.57588
2.3751,-0.86259,1.42976,9.53177
2.3858,-0.84128,1.45482,9.59866
