time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
0.0117,-0.76700,1.50657,9.65983
0.0278,-0.77657,1.49691,9.66057
0.0279,-0.77441,1.49684,9.66075
0.0445,-0.76843,1.49908,9.66088
0.0471,-0.76434,1.50124,9.66087
0.0567,-0.76410,1.50116,9.66090
0.0668,-0.76804,1.49757,9.66115
0.0766,-0.77328,1.49004,9.66189
0.0875,-0.77693,1.48196,9.66284
0.0982,-0.78159,1.47738,9.66317
0.1077,-0.78432,1.47748,9.66293
0.1175,-0.78345,1.48048,9.66255
0.1273,-0.77895,1.48494,9.66222
0.1374,-0.77494,1.48692,9.66224
0.1470,-0.77239,1.48592,9.66260
0.1574,-0.77221,1.48219,9.66319
0.1804,-0.77448,1.47762,9.66371
0.1805,-0.77714,1.47433,9.66399
0.1853,-0.77839,1.47284,9.66412
0.1958,-0.77848,1.47250,9.66417
0.2050,-0.77693,1.47243,9.66430
0.2149,-0.77424,1.47267,9.66448
0.2256,-0.77120,1.47341,9.66461
0.2353,-0.76775,1.47474,9.66468
0.2459,-0.76437,1.47606,9.66475
0.2554,-0.76288,1.47704,9.66472
0.2652,-0.76315,1.47715,9.66468
0.2757,-0.76406,1.47642,9.66472
0.2972,-0.76423,1.47567,9.66482
0.2972,-0.76427,1.47458,9.66498
0.3042,-0.76531,1.47350,9.66506
0.3134,-0.76501,1.47371,9.66506
0.3234,-0.76299,1.47498,9.66502
0.3335,-0.75976,1.47639,9.66506
0.3434,-0.75928,1.47695,9.66502
0.3530,-0.76065,1.47555,9.66512
0.3630,-0.76154,1.47360,9.66535
0.3730,-0.76111,1.47214,9.66560
0.3827,-0.75981,1.47188,9.66575
0.3930,-0.75861,1.47300,9.66567
0.4047,-0.75699,1.47509,9.66548
0.4132,-0.75540,1.47698,9.66531
0.4235,-0.75508,1.47861,9.66509
0.4330,-0.75505,1.47920,9.66500
0.4479,-0.75438,1.47960,9.66499
0.4588,-0.75226,1.48039,9.66504
0.4685,-0.74981,1.48275,9.66487
0.4785,-0.74768,1.48555,9.66460
0.4886,-0.74739,1.48782,9.66427
0.4981,-0.74878,1.48891,9.66400
0.5080,-0.75021,1.48866,9.66393
0.5184,-0.75071,1.48799,9.66399
0.5324,-0.74996,1.48721,9.66417
0.5455,-0.75025,1.48737,9.66412
0.5464,-0.75119,1.48750,9.66403
0.5560,-0.75293,1.48736,9.66391
0.5659,-0.75315,1.48737,9.66390
0.5755,-0.75160,1.48817,9.66389
0.5856,-0.74835,1.48930,9.66397
