time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
0.0120,-0.09404,0.11633,0.01044
0.0278,-0.06238,0.08099,0.02597
0.0280,-0.02074,0.00661,0.01364
0.0445,0.01445,-0.05635,-0.00296
0.0471,0.02374,-0.05873,-0.00871
0.0571,0.00256,-0.01840,0.00168
0.0668,-0.03703,0.02399,0.00671
0.0766,-0.06612,0.04530,0.00871
0.0875,-0.06821,0.04652,0.00821
0.0982,-0.04106,0.04333,0.00443
0.1076,0.00407,0.01944,0.00546
0.1175,0.03018,-0.01688,0.01167
0.1272,0.03484,-0.04007,0.01523
0.1373,0.02132,-0.03783,0.01485
0.1471,-0.00786,-0.02452,0.01103
0.1574,-0.03514,-0.00110,0.00644
0.1672,-0.04590,0.02426,0.00107
0.1804,-0.03387,0.02892,-0.00337
0.1853,-0.01366,0.01173,-0.00365
0.1956,-0.00140,-0.00110,0.00002
0.2051,0.00034,-0.01538,0.01077
0.2149,0.00169,-0.02586,0.01492
0.2258,0.00618,-0.02919,0.01712
0.2354,0.01172,-0.03143,0.01755
0.2458,0.01170,-0.03157,0.01099
0.2554,0.00920,-0.01384,0.00504
0.2654,-0.00003,0.00662,0.00298
0.2756,-0.00838,0.01176,-0.00449
0.2971,-0.00595,0.00035,-0.01237
0.2972,-0.00006,-0.00685,-0.01151
0.3042,0.00784,-0.00720,-0.00722
0.3134,0.01854,-0.01390,-0.00240
0.3234,0.02516,-0.02274,-0.00104
0.3330,0.01982,-0.02661,-0.00435
0.3435,0.01134,-0.01103,-0.00835
0.3530,-0.00247,-0.00145,-0.00755
0.3633,-0.01079,0.00256,-0.00076
0.3730,-0.00644,-0.00514,0.00198
0.3828,0.00589,-0.01337,0.00020
0.3929,0.02121,-0.01604,0.00301
0.4046,0.02766,-0.01596,0.00385
0.4132,0.02452,-0.01202,0.00542
0.4235,0.01828,0.00244,0.00594
0.4331,0.00786,0.00417,0.00693
0.4425,0.00565,-0.00162,0.00778
0.4526,0.00999,-0.01353,0.00511
0.4629,0.02295,-0.02322,0.00282
0.4731,0.03006,-0.02193,0.00290
0.4830,0.02458,-0.00781,0.00208
0.4929,0.00893,0.01350,0.00026
0.5033,-0.00523,0.01620,0.00146
0.5122,-0.01125,0.00670,-0.00262
0.5227,-0.00624,0.00090,-0.00150
0.5328,-0.00507,0.00694,-0.00024
0.5456,0.00096,0.01173,0.00063
0.5508,0.00264,0.00916,-0.00124
0.5608,0.00235,0.00072,0.00215
0.5706,0.00896,-0.00928,0.00580
0.5808,0.01538,-0.02296,0.00128
0.5905,0.01823,-0.01840,-0.00160
0.6013,0.01810,-0.00157,-0.00383
0.6112,0.00925,0.00677,-0.00468
0.6215,0.00218,0.01788,-0.00645
0.6311,0.00122,0.02499,-0.00410
0.6419,-0.00124,0.02115,0.00185
0.6514,0.00409,0.00871,0.00389
0.6619,0.01331,-0.00319,0.00716
0.6840,0.01620,-0.00415,0.00247
0.6841,0.01135,-0.00072,-0.00131
0.6904,-0.00073,0.00653,-0.00340
0.6992,-0.00497,0.00691,-0.00267
0.7090,-0.00627,0.00449,-0.00186
0.7204,-0.00264,0.00078,-0.00615
0.7300,0.00107,-0.00288,-0.00626
0.7397,-0.00374,-0.00049,-0.00204
0.7501,-0.00499,0.00192,-0.00137
0.7598,0.00174,-0.00171,-0.00137
0.7746,0.01218,-0.00476,0.00108
0.7878,0.01701,-0.00168,0.00478
0.7952,0.01498,-0.00044,0.00568
0.8140,0.00706,0.00266,-0.00272
0.8142,0.00096,0.01051,-0.00993
0.8260,-0.00212,0.01268,-0.01115
0.8328,-0.00249,0.01778,-0.00981
0.8423,0.00131,0.00945,-0.00734
0.8522,0.00331,-0.00150,-0.00421
0.8633,0.00725,-0.01387,0.00009
0.8729,0.00801,-0.01820,0.00647
0.8826,0.00558,-0.01244,0.01083
0.8925,-0.00499,0.00418,0.00533
0.9024,-0.01141,0.01744,0.00206
0.9144,-0.00987,0.01515,0.00130
0.9309,0.00060,0.00529,0.00252
0.9311,0.01668,-0.00809,0.00499
0.9415,0.02344,-0.01488,0.00349
0.9520,0.01520,-0.01196,0.00395
0.9612,0.00002,-0.00438,0.00212
0.9713,-0.00314,0.01155,0.00439
0.9871,0.00874,0.00763,0.01225
0.9971,0.02234,0.00568,0.01897
1.0070,0.02986,0.00497,0.01653
1.0172,0.02110,0.00807,0.01714
1.0271,0.00595,-0.00032,0.01755
1.0370,-0.00569,-0.01013,0.01404
1.0470,-0.00941,-0.01843,0.00749
1.0744,-0.00665,-0.01712,0.00061
1.0748,-0.00230,-0.01241,-0.00063
1.0772,0.00418,-0.00647,0.00218
1.0853,0.00922,0.00381,0.00905
1.0947,0.00645,0.00902,0.01755
1.1048,0.00331,0.00267,0.02313
1.1145,-0.00015,-0.00249,0.01868
1.1252,-0.00235,-0.00636,0.01266
1.1352,0.00046,0.00607,0.01082
1.1453,0.00052,0.01567,0.00568
1.1552,0.00572,0.01077,0.00475
1.1680,0.01468,0.00716,0.00531
1.1753,0.02356,0.00618,0.00406
1.2024,0.02623,-0.00337,0.00313
1.2027,0.02650,-0.00558,-0.00714
1.2053,0.03218,0.00227,-0.01227
1.2156,0.02666,0.00237,-0.00754
1.2244,0.01486,-0.00171,-0.00043
1.2335,-0.00281,0.00845,0.00391
1.2434,-0.01472,0.01901,0.00845
1.2530,-0.01981,0.02371,0.01373
1.2640,-0.01646,0.02441,0.01433
1.2737,-0.00868,0.01242,0.01047
1.2839,0.00340,0.00418,0.00674
1.2971,0.00850,0.00420,0.00150
1.3160,0.01042,0.00671,0.00227
1.3166,0.00368,0.01222,-0.00812
1.3238,-0.00534,0.02159,-0.01611
1.3344,-0.01682,0.02733,-0.01286
1.3419,-0.02449,0.03627,-0.00554
1.3519,-0.02299,0.03171,-0.00060
1.3619,-0.00526,0.02113,-0.00108
1.3718,0.01686,0.01688,-0.00259
1.3822,0.02809,0.02513,0.00113
1.3928,0.02385,0.01109,0.00449
1.4024,0.01031,-0.01973,0.00043
1.4123,-0.00162,-0.02646,-0.00647
1.4258,-0.01433,0.00522,-0.00418
1.4317,-0.02802,0.02272,-0.00111
1.4505,-0.02875,0.03558,0.00145
1.4526,-0.01401,0.03856,0.00436
1.4607,-0.00032,0.01613,-0.00105
1.4711,0.01045,-0.00447,-0.01019
1.4801,0.00749,-0.00848,-0.01054
1.4905,-0.00082,0.00047,-0.00854
1.5008,-0.00912,0.00320,-0.00983
1.5105,-0.00938,-0.00519,-0.01532
1.5217,0.00275,-0.00781,-0.01241
1.5306,0.01871,-0.00906,-0.01059
1.5413,0.01825,-0.00537,-0.00566
1.5556,0.00281,-0.00598,-0.00014
1.5655,-0.02469,-0.00034,-0.00261
1.5860,-0.03284,0.01921,-0.00504
1.5865,-0.01993,0.02504,-0.00755
1.5959,-0.00632,0.01540,-0.00867
1.6048,0.00920,0.00562,-0.01067
1.6138,0.02890,0.00189,-0.01279
1.6250,0.02882,-0.00023,-0.01025
1.6350,0.01643,-0.00114,-0.00458
1.6447,0.00191,0.01360,0.00032
1.6550,-0.00665,0.02058,0.00168
1.6646,-0.00786,0.02324,-0.00267
1.6743,-0.00732,0.01765,-0.00577
1.6842,-0.00314,0.01202,-0.00429
1.7070,-0.00650,0.01176,0.00191
1.7073,-0.01047,0.00171,0.00644
1.7150,-0.01340,-0.00766,0.00345
1.7234,-0.01035,-0.02017,-0.00720
1.7329,-0.00778,-0.01297,-0.01360
1.7428,-0.00270,0.00453,-0.01146
1.7530,-0.00026,0.01221,-0.00395
1.7629,-0.00137,0.01096,0.00340
1.7731,-0.00420,0.00456,0.00534
1.7830,-0.00346,-0.00354,0.00247
1.7929,-0.00201,-0.00214,0.00623
1.8029,0.00233,0.00235,0.00188
1.8124,0.00215,-0.00375,-0.00015
1.8383,0.00203,-0.00537,-0.00235
1.8385,-0.00804,-0.00177,0.00102
1.8419,-0.01270,0.00960,-0.00114
1.8509,-0.00830,0.01271,0.00032
1.8608,0.00247,0.00633,0.00058
1.8708,0.01080,0.00098,0.00330
1.8821,0.01274,-0.00058,0.00604
1.8920,0.01038,-0.00433,0.00700
1.9018,0.00847,-0.01041,0.00662
1.9120,0.00517,-0.01526,0.00412
1.9216,0.00394,-0.00536,0.00592
1.9315,-0.00250,0.00922,0.00446
1.9417,-0.00650,0.01570,0.00076
1.9627,-0.00833,0.00674,0.00258
1.9658,-0.00279,-0.00398,-0.00020
1.9754,0.00372,-0.00476,-0.00171
1.9853,0.00662,0.00113,0.00052
1.9952,0.01227,0.00604,-0.00163
2.0052,0.01595,0.00638,-0.00346
2.0152,0.02031,0.00075,-0.00090
2.0260,0.01823,0.00185,-0.00200
2.0359,0.01343,0.00674,-0.00189
2.0449,0.00943,0.00192,0.00114
2.0548,0.00160,-0.00896,0.00426
2.0652,-0.00291,-0.01314,0.00516
2.0920,-0.00417,-0.00598,0.00331
2.0923,-0.00929,-0.00725,0.00453
2.0951,-0.01384,-0.00821,0.00510
2.1037,-0.01198,-0.00322,0.00412
2.1128,-0.00533,0.00276,0.00241
2.1238,0.00153,0.00879,0.00139
2.1338,0.00327,0.00502,0.00092
2.1442,0.00082,0.00887,0.00217
2.1538,0.00443,0.01187,0.00121
2.1671,0.00928,0.00313,0.00407
2.1740,0.01756,-0.00533,0.00972
2.1829,0.02277,-0.01653,0.00890
2.1930,0.02435,-0.01552,0.00829
2.2156,0.01772,-0.00142,0.00891
2.2159,0.00624,0.00616,0.00572
2.2232,-0.00359,0.01697,0.00386
2.2329,-0.01253,0.02255,0.00381
2.2429,-0.01437,0.01366,0.00500
2.2526,-0.00787,0.00143,0.00471
2.2624,0.00366,-0.01343,0.00540
2.2730,0.01474,-0.00999,0.01004
2.2822,0.01408,-0.00192,0.00421
2.2924,0.01047,0.00711,-0.00175
2.3019,0.00244,0.01762,-0.00031
2.3191,-0.00551,0.02081,0.00105
2.3374,-0.00563,0.01846,0.00229
2.3376,0.00235,0.01051,0.00105
2.3454,0.00662,0.00125,0.00661
2.3553,0.01225,-0.01216,0.00650
2.3652,0.02061,-0.01201,-0.00018
2.3751,0.01054,-0.00517,0.00058
2.3859,-0.00261,0.00328,0.00679
2.3957,-0.00307,0.00285,0.01019
2.4066,0.00110,-0.00142,0.00656
2.4157,0.00951,-0.00166,0.00424
2.4258,0.00317,0.00282,0.00766
2.4351,-0.00117,0.00874,0.00710
2.4466,-0.00027,0.00563,0.00612
2.4757,0.00624,0.00270,0.00789
2.4760,0.01759,0.00664,0.00829
2.4765,0.02229,-0.00110,0.00961
2.4839,0.01595,0.00156,0.00662
2.4943,0.00761,0.00952,0.00827
2.5041,0.00232,0.01122,0.00754
2.5133,-0.00471,0.00548,0.00418
2.5241,0.00169,-0.00415,0.00398
2.5339,0.00555,-0.00232,0.00015
2.5439,0.00386,0.00085,0.00079
2.5538,0.00034,-0.00060,0.00206
2.5641,0.00165,-0.00041,0.00194
2.5742,0.00735,-0.00262,0.00247
2.5841,0.01033,0.00439,0.00476
2.6088,0.00764,0.00398,0.00388
2.6089,0.00456,0.00317,0.00797
2.6138,-0.00319,0.00587,0.00795
2.6226,-0.00055,0.00772,0.00784
2.6322,0.00479,0.00867,0.00885
2.6429,0.01283,0.00110,0.00844
2.6529,0.01346,-0.00037,0.00620
2.6636,0.00928,-0.00101,0.00458
2.6730,0.00279,0.00290,0.00194
2.6827,0.00139,0.00642,0.00371
2.6930,0.00662,0.00580,0.00739
2.7178,0.00475,-0.00543,0.00961
2.7179,0.00476,-0.02141,0.01019
2.7226,0.00328,-0.02310,0.00752
2.7315,0.00204,-0.01512,0.00322
2.7411,0.00139,-0.00653,0.00444
2.7505,-0.00037,-0.00476,0.00529
2.7603,-0.00099,-0.00566,0.00348
2.7704,0.00018,0.00143,0.00594
2.7817,0.00200,0.00574,0.00676
2.7920,0.00453,-0.00294,0.00542
2.8012,0.00812,-0.00375,0.00606
2.8111,0.01321,-0.00490,0.00497
2.8206,0.01602,0.00259,0.00180
2.8311,0.01556,0.00131,0.00299
2.8442,0.01852,0.00191,0.00417
2.8504,0.02290,0.00092,-0.00011
2.8592,0.02353,0.00215,0.00005
2.8690,0.01230,0.00192,-0.00133
2.8793,0.00305,0.00166,-0.00343
