time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
0.0121,-0.11982,-0.10346,0.31656
0.0278,0.11491,0.03724,0.01095
0.0279,0.06713,0.01133,-0.17371
0.0446,0.01300,-0.00702,-0.25364
0.0471,-0.05844,-0.04674,-0.30405
0.0574,-0.00399,0.00186,-0.25668
0.0677,-0.09594,0.01528,-0.04930
0.0766,-0.04977,-0.05672,0.28868
0.0875,0.00232,-0.03547,0.49571
0.0982,-0.11206,-0.01052,0.41601
0.1077,-0.09710,-0.02073,0.14955
0.1176,-0.06694,-0.01637,-0.13611
0.1273,0.08131,0.02061,-0.34148
0.1374,0.13945,0.02836,-0.41227
0.1472,0.15601,-0.03036,-0.20377
0.1574,0.12471,-0.07929,0.06604
0.1804,0.04325,-0.08436,0.19676
0.1805,-0.03304,-0.10028,0.16498
0.1853,-0.12747,-0.12755,0.07370
0.1957,-0.15610,-0.09610,0.01141
0.2051,-0.04279,-0.05058,0.02796
0.2150,-0.00718,-0.01255,0.04446
0.2257,0.01613,0.01301,0.05375
0.2359,0.09646,0.02843,0.01774
0.2459,0.10027,0.06299,0.05348
0.2554,0.13228,0.03810,-0.03496
0.2654,0.16603,0.03802,-0.07540
0.2772,0.06883,0.03638,-0.04895
0.2971,-0.02912,-0.07057,0.06810
0.2972,-0.06489,-0.08877,0.11244
0.3042,-0.09958,-0.09518,0.11040
0.3134,-0.04000,-0.08355,0.02822
0.3234,0.02733,-0.07275,-0.04765
0.3335,0.04084,-0.01908,0.00282
0.3431,-0.04345,-0.04344,-0.06339
0.3530,-0.08759,-0.06352,-0.02238
0.3631,-0.01973,-0.03758,-0.02694
0.3730,0.00619,-0.04098,0.04895
0.3827,-0.00940,-0.04323,0.04329
0.3930,-0.01536,-0.05156,-0.00715
0.4047,0.00689,-0.04632,-0.02519
0.4132,0.03399,-0.03617,-0.02465
0.4236,0.03355,-0.01602,-0.10423
0.4331,0.01192,-0.02846,-0.02440
0.4479,-0.00062,-0.03145,0.07484
0.4587,0.00460,-0.02772,0.11845
0.4685,0.00461,0.00328,0.02679
0.4786,0.04554,0.00055,-0.04432
0.4884,0.04035,0.02486,-0.13331
0.4980,0.01040,0.01940,-0.15908
0.5084,-0.00506,0.03906,-0.08307
0.5185,-0.01894,-0.00569,0.00808
0.5282,0.07368,-0.01458,0.04317
0.5456,0.02614,0.01634,-0.00726
0.5465,0.01029,-0.01006,-0.02357
0.5561,-0.08131,-0.02666,-0.00179
0.5660,-0.03078,-0.01245,0.06431
0.5755,0.02043,-0.03020,0.09648
0.5856,0.05088,-0.01013,0.16587
0.5956,0.02986,-0.04712,0.04504
0.6066,0.02489,-0.06901,-0.04736
0.6173,0.02536,-0.04029,-0.04398
0.6261,-0.04395,-0.04689,-0.00778
0.6358,-0.06698,-0.05812,0.00468
0.6468,-0.06884,-0.03345,0.05654
0.6611,0.01078,-0.00752,0.06742
0.6666,0.05966,0.01954,-0.03519
0.6840,0.03003,-0.00595,-0.12416
0.6858,0.01304,-0.02315,-0.16185
0.6949,0.00179,-0.03429,-0.10031
0.7040,0.01407,-0.04250,-0.00411
0.7139,0.05434,-0.04117,0.04545
0.7258,0.02731,-0.05463,0.02334
0.7355,-0.01322,-0.05846,-0.03137
0.7449,-0.04156,-0.06884,0.01647
0.7547,-0.03388,-0.05099,0.07755
0.7646,-0.04061,-0.05529,0.12832
0.7747,-0.04032,-0.02007,0.08123
0.7840,0.04511,0.02586,-0.01441
0.7951,0.07499,0.02654,-0.03761
0.8141,0.05739,-0.00043,-0.01323
0.8142,0.05074,-0.01436,-0.03436
0.8234,-0.01937,-0.03734,-0.03870
0.8328,-0.03613,-0.03889,-0.04264
0.8423,-0.01128,0.01819,-0.00643
0.8522,-0.03280,-0.00381,-0.00618
0.8629,-0.00066,0.00491,0.02676
0.8729,0.03052,0.00178,-0.00689
0.8877,0.05893,-0.00310,-0.00172
0.8977,0.00053,-0.03780,0.01718
0.9079,-0.03577,-0.03130,0.09260
0.9309,-0.05104,-0.04019,0.10980
0.9309,-0.06229,-0.03837,0.06554
0.9367,-0.01309,0.02392,-0.04413
0.9466,0.00240,0.00267,-0.13500
0.9568,0.01562,-0.01674,0.02365
0.9661,-0.04088,-0.03269,0.09635
0.9763,-0.05302,-0.13395,0.12339
0.9871,-0.04223,-0.05014,0.15221
0.9972,0.01072,-0.01154,0.03426
1.0072,-0.02479,-0.02138,-0.11936
1.0172,-0.06410,-0.03701,-0.23966
1.0270,-0.04699,-0.02284,-0.14338
1.0370,0.03522,-0.02431,-0.04920
1.0470,-0.00507,0.02418,-0.00134
1.0746,0.01221,0.01519,0.03849
1.0748,-0.01513,-0.00850,0.07554
1.0772,-0.00611,0.01717,0.07655
1.0853,-0.06270,0.00631,-0.00271
1.0948,-0.02532,0.06222,-0.03055
1.1048,0.01763,0.07006,0.01479
1.1146,0.05453,0.03570,0.02634
1.1253,0.02417,-0.03551,0.13426
1.1352,-0.00852,-0.05384,0.07049
1.1453,-0.01651,-0.05755,0.04818
1.1554,0.00602,-0.09733,0.10408
1.1681,0.03006,-0.08055,0.07640
1.1754,-0.01497,-0.08151,0.00212
1.2026,0.13368,-0.01401,-0.02572
1.2028,0.10004,-0.01879,-0.04141
1.2047,-0.02629,-0.05906,-0.23620
1.2157,0.01710,-0.02981,-0.25286
1.2245,-0.02124,-0.00717,-0.19668
1.2335,-0.00137,0.00491,-0.14136
1.2434,0.00735,-0.02933,-0.02098
1.2530,-0.00026,0.01055,0.06887
1.2641,-0.00295,0.02151,0.12651
1.2738,-0.00887,-0.01834,0.14358
1.2840,-0.01077,-0.01822,0.15061
1.2973,-0.01734,-0.03765,0.06536
1.3159,0.05907,-0.00479,-0.02038
1.3199,0.05022,0.03289,-0.05019
1.3285,-0.03561,-0.01605,-0.01370
1.3383,-0.04368,0.00044,0.03350
1.3467,-0.01562,0.00749,0.04233
1.3569,0.05517,0.06315,0.13813
1.3670,-0.02228,0.04518,0.21614
1.3781,-0.03905,-0.01434,0.04768
1.3882,-0.03847,0.02823,-0.24041
1.3977,-0.01190,0.06839,-0.30227
1.4082,0.10161,0.02896,-0.20291
1.4170,-0.00571,-0.02058,-0.06040
1.4284,0.00763,-0.03709,-0.09950
1.4503,0.02191,-0.06675,0.11228
1.4506,-0.00037,-0.08918,0.14068
1.4582,0.08986,-0.03255,0.10555
1.4658,0.01120,-0.04403,0.05443
1.4780,-0.06750,-0.07703,0.00878
1.4859,-0.00308,-0.05254,-0.09071
1.4954,-0.00281,-0.01825,-0.08695
1.5057,0.00671,-0.02645,0.07283
1.5153,-0.02688,-0.05118,0.22036
1.5259,-0.09808,-0.06515,0.22611
1.5356,-0.04496,-0.01388,0.09272
1.5461,-0.05158,0.03471,-0.10491
1.5558,0.07419,0.01099,-0.14312
1.5656,0.07317,-0.00791,0.12110
1.5860,0.00330,-0.02139,0.12817
1.5865,0.01740,-0.03824,0.09552
1.5957,0.02289,-0.05123,0.16950
1.6051,-0.05484,-0.01601,0.10746
1.6141,-0.05842,-0.01580,-0.09242
1.6249,-0.08103,-0.02976,-0.09029
1.6350,0.00316,0.01441,-0.08612
1.6447,0.02104,0.00939,-0.08212
1.6550,0.01826,0.00515,-0.10666
1.6646,-0.01044,0.02253,-0.13812
1.6744,-0.01559,-0.04815,-0.06296
1.6843,-0.04959,-0.03768,-0.12574
1.7071,-0.03363,0.00620,-0.10472
1.7074,0.04505,0.04019,-0.11249
1.7150,0.13284,0.02905,-0.04928
1.7233,0.06963,-0.01531,0.11171
1.7330,-0.01490,-0.07107,0.14045
1.7431,-0.05409,-0.04593,0.06727
1.7579,-0.06993,-0.01449,0.01888
1.7686,0.01931,0.01907,0.00905
1.7790,-0.04287,0.03552,0.06791
1.7883,-0.06843,-0.00972,0.07831
1.7990,-0.00798,0.01398,0.02503
1.8121,0.01592,0.00377,-0.05793
1.8184,-0.01773,0.00350,-0.07337
1.8384,0.00810,-0.03160,-0.05539
1.8385,0.00831,-0.05590,0.06372
1.8463,-0.01675,-0.08454,0.12388
1.8564,-0.04157,-0.07346,0.14551
1.8659,-0.07382,-0.06838,0.09607
1.8759,-0.01330,-0.04720,0.02857
1.8869,0.01482,0.00917,-0.01186
1.8971,0.02081,0.04349,-0.05370
1.9066,0.01676,0.03740,-0.01247
1.9166,0.06019,0.04361,-0.06679
1.9267,0.06873,0.05910,-0.01838
1.9380,0.01687,0.03022,-0.03691
1.9468,-0.02688,-0.01699,-0.05514
1.9627,-0.03068,-0.01840,0.05679
1.9656,-0.02333,-0.05553,0.13143
1.9748,-0.02809,-0.10694,0.14350
1.9853,0.02681,-0.07498,0.12459
1.9952,0.04364,-0.07246,0.12028
2.0053,0.02245,-0.08437,0.02645
2.0152,-0.00861,-0.06835,-0.00686
2.0259,0.01054,-0.04769,-0.10320
2.0352,-0.01995,-0.01070,-0.16994
2.0450,-0.00053,0.00506,-0.18813
2.0549,-0.02710,0.00249,-0.12357
2.0653,0.03102,0.03343,-0.01548
2.0920,-0.01986,0.00014,-0.09326
2.0923,-0.05567,-0.00617,-0.08247
2.0948,-0.01779,-0.03562,0.02961
2.1035,0.01041,-0.02204,0.14227
2.1128,-0.03223,-0.00460,0.15170
2.1238,-0.03337,-0.02346,0.08323
2.1338,-0.01790,-0.02815,0.08214
2.1442,0.01359,0.02414,0.13499
2.1537,-0.05882,-0.00020,0.08572
2.1637,-0.07869,0.00145,0.06093
2.1740,0.03061,0.07322,0.05091
2.1901,0.02250,0.03961,-0.03977
2.1988,0.01622,0.01535,-0.08138
2.2157,0.05158,0.02083,-0.17183
2.2185,-0.00048,-0.02483,-0.14056
2.2284,-0.05779,-0.03813,-0.14065
2.2390,-0.03369,-0.04569,-0.00346
2.2480,-0.02066,-0.05090,0.07684
2.2579,-0.00177,-0.06389,0.12970
2.2674,0.02288,-0.05417,0.12968
2.2782,0.10213,-0.02643,0.04501
2.2882,0.03883,-0.02030,-0.00052
2.2983,-0.01513,-0.04660,-0.03807
2.3076,-0.02515,-0.04107,-0.06813
2.3196,0.03851,0.00263,0.02973
2.3375,-0.01253,-0.03257,0.03387
2.3379,-0.07275,-0.08188,-0.00924
2.3457,0.03917,0.00616,0.02187
2.3556,0.04400,0.01391,0.00027
2.3652,-0.02157,-0.04224,-0.07743
2.3751,-0.07820,-0.06120,-0.05220
2.3860,0.00842,-0.00096,-0.00174
2.3958,0.04804,0.01815,0.04531
2.4067,-0.00753,-0.01095,0.07284
2.4157,0.00907,-0.02825,0.02221
2.4252,-0.00267,-0.00887,0.04085
