time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
0.0118,4.53982,-8.83722,157.74936
0.0247,4.59585,-8.78011,157.83900
0.0279,4.58304,-8.77966,157.86346
0.0445,4.54776,-8.79289,157.89333
0.0471,4.52367,-8.80569,157.86177
0.0567,4.52221,-8.80522,157.80315
0.0677,4.54530,-8.78399,157.73811
0.0774,4.57586,-8.73946,157.68295
0.0874,4.59691,-8.69174,157.73317
0.0981,4.62423,-8.66464,157.76396
0.1078,4.64043,-8.66523,157.71161
0.1174,4.63547,-8.68297,157.66818
0.1273,4.60908,-8.70934,157.69604
0.1373,4.58549,-8.72105,157.69470
0.1471,4.57029,-8.71510,157.76320
0.1573,4.56892,-8.69308,157.77751
0.1803,4.58209,-8.66604,157.85107
0.1805,4.59761,-8.64665,157.85786
0.1853,4.60493,-8.63782,157.90556
0.1956,4.60544,-8.63578,157.89348
0.2051,4.59622,-8.63537,157.92993
0.2149,4.58028,-8.63679,157.92064
0.2257,4.56234,-8.64120,157.96335
0.2354,4.54197,-8.64906,157.96039
0.2459,4.52204,-8.65684,158.02277
0.2555,4.51323,-8.66265,158.03021
0.2653,4.51488,-8.66330,158.05803
0.2757,4.52024,-8.65899,158.06866
0.2972,4.52114,-8.65456,158.06335
0.2972,4.52130,-8.64812,158.06587
0.3042,4.52742,-8.64173,158.04733
0.3134,4.52567,-8.64296,158.03476
0.3234,4.51375,-8.65046,158.02704
0.3335,4.49473,-8.65882,158.06998
0.3434,4.49188,-8.66208,158.01833
0.3530,4.49992,-8.65386,157.98607
0.3633,4.50506,-8.64233,157.98486
0.3730,4.50239,-8.63366,158.02882
0.3828,4.49469,-8.63215,158.27902
0.3930,4.48764,-8.63878,158.30959
0.4047,4.47821,-8.65108,158.64487
0.4132,4.46891,-8.66226,158.67902
0.4236,4.46711,-8.67189,158.78139
0.4331,4.46702,-8.67538,158.77200
0.4478,4.46304,-8.67779,158.49255
0.4588,4.45051,-8.68241,158.59648
0.4686,4.43617,-8.69640,158.65886
0.4786,4.42378,-8.71294,158.61499
0.4885,4.42220,-8.72637,158.58713
0.4981,4.43049,-8.73280,158.50862
0.5083,4.43897,-8.73134,158.45186
0.5185,4.44190,-8.72734,158.63316
0.5325,4.43736,-8.72273,158.67946
0.5455,4.43912,-8.72369,158.95221
0.5465,4.44467,-8.72448,158.90959
0.5561,4.45498,-8.72365,159.17119
0.5660,4.45628,-8.72371,159.16153
0.5755,4.44715,-8.72843,159.23170
0.5856,4.42798,-8.73508,159.35255
0.5955,4.41636,-8.74043,159.44240
0.6066,4.41562,-8.74333,159.43954
0.6173,4.41884,-8.74415,159.48267
0.6260,4.43367,-8.74088,159.38304
0.6357,4.45340,-8.73683,159.32600
0.6469,4.47027,-8.73162,159.35921
0.6609,4.47374,-8.73287,159.33035
0.6666,4.46572,-8.74281,159.72069
0.6840,4.46121,-8.75369,159.72331
0.6857,4.46117,-8.75898,159.96283
0.6950,4.46618,-8.75568,159.93515
0.7040,4.46831,-8.74822,159.99214
0.7141,4.46557,-8.73992,160.03511
0.7251,4.46110,-8.73422,160.13980
0.7353,4.46213,-8.72897,160.14662
0.7449,4.46436,-8.71970,160.15564
0.7547,4.46676,-8.71231,160.15822
0.7645,4.46858,-8.70778,160.15732
0.7747,4.46958,-8.71027,160.14316
0.7876,4.46531,-8.72155,160.14365
0.7952,4.45845,-8.73223,160.16478
0.8140,4.45356,-8.73646,160.18912
0.8142,4.45692,-8.73431,160.17036
0.8260,4.46704,-8.72906,160.11034
0.8328,4.48152,-8.72478,160.01584
0.8423,4.48718,-8.72703,159.96817
0.8522,4.48734,-8.72992,159.95898
0.8635,4.47906,-8.73451,160.00708
0.8729,4.46520,-8.73880,160.09706
0.8876,4.44950,-8.73981,160.20998
0.8978,4.45774,-8.73258,160.16904
0.9073,4.46897,-8.72143,160.11708
0.9309,4.47687,-8.71567,160.07492
0.9309,4.48052,-8.71792,160.04201
0.9368,4.47451,-8.73180,160.04791
0.9465,4.46816,-8.74633,160.05463
0.9568,4.46177,-8.74857,160.09543
0.9663,4.46660,-8.74251,160.07663
0.9764,4.47898,-8.73144,160.01617
0.9872,4.48501,-8.72897,159.97873
0.9972,4.48651,-8.74043,159.93608
1.0071,4.48976,-8.75744,159.86496
1.0173,4.49968,-8.76839,159.76141
1.0272,4.50323,-8.77213,159.72481
1.0374,4.49450,-8.76763,159.80164
1.0468,4.48261,-8.76415,159.89893
1.0744,4.47124,-8.76009,159.99387
1.0748,4.46464,-8.75766,160.04929
1.0771,4.46068,-8.76028,160.07120
1.0851,4.46557,-8.76745,160.01530
1.0948,4.47476,-8.77698,159.92105
1.1048,4.47397,-8.78689,159.89917
1.1146,4.46559,-8.79157,159.94812
1.1253,4.45489,-8.78641,160.04163
1.1352,4.45891,-8.78022,160.02910
1.1457,4.46800,-8.77328,159.98125
1.1552,4.47308,-8.76661,159.96223
1.1682,4.47314,-8.76524,159.96556
1.1754,4.47573,-8.77066,159.93149
1.2025,4.46365,-8.78254,159.98759
1.2028,4.44918,-8.79748,160.05325
1.2052,4.45382,-8.81233,159.97733
1.2155,4.45792,-8.82749,159.90440
1.2245,4.45923,-8.83816,159.86464
1.2335,4.46481,-8.83979,159.81853
1.2434,4.47426,-8.83080,159.77365
1.2531,4.48545,-8.82046,159.71991
1.2639,4.49679,-8.81022,159.66492
1.2737,4.50330,-8.80347,159.63596
1.2840,4.50505,-8.80048,159.63152
1.2972,4.50792,-8.80081,159.60936
1.3160,4.50720,-8.80486,159.60323
1.3199,4.51204,-8.80945,159.55450
1.3286,4.52828,-8.80226,159.45525
1.3376,4.55101,-8.78898,159.32610
1.3467,4.57513,-8.77495,159.18968
1.3570,4.58237,-8.76917,159.15349
1.3670,4.58967,-8.77318,159.08868
1.3771,4.60330,-8.78420,158.95744
1.3883,4.62273,-8.80423,158.75739
1.3977,4.62665,-8.82564,158.66588
1.4082,4.60625,-8.83582,158.78517
1.4178,4.59484,-8.83305,158.87703
1.4283,4.60377,-8.81917,158.85228
1.4503,4.61689,-8.79560,158.82523
1.4507,4.63954,-8.77030,158.73433
1.4581,4.64874,-8.75947,158.69925
1.4658,4.65012,-8.75589,158.69969
1.4780,4.65159,-8.75286,158.69786
1.4852,4.65098,-8.75052,158.70906
1.4955,4.65322,-8.74706,158.70294
1.5057,4.65268,-8.73868,158.73120
1.5153,4.65057,-8.72657,158.78152
1.5259,4.65222,-8.72090,158.78603
1.5356,4.65420,-8.72725,158.75340
1.5460,4.65790,-8.73765,158.69649
1.5556,4.65290,-8.73873,158.72954
1.5656,4.64624,-8.72236,158.82487
1.5860,4.65642,-8.70101,158.81316
1.5865,4.66831,-8.68613,158.77066
1.5956,4.67118,-8.67591,158.77943
1.6051,4.67738,-8.67780,158.72963
1.6141,4.68498,-8.69140,158.63600
1.6249,4.69391,-8.70463,158.53369
1.6351,4.69732,-8.71371,158.48280
1.6448,4.70478,-8.71637,158.42157
1.6550,4.71750,-8.71472,158.33543
1.6646,4.73280,-8.71265,158.23212
1.6743,4.74521,-8.70696,158.16042
1.7067,4.75729,-8.70323,158.08542
1.7070,4.76772,-8.70009,158.02058
1.7073,4.76689,-8.69880,158.03026
1.7150,4.74881,-8.69516,158.16953
1.7235,4.72799,-8.68755,158.34006
1.7330,4.72212,-8.67579,158.41618
1.7431,4.73028,-8.66744,158.38243
1.7580,4.74961,-8.66476,158.25305
1.7687,4.75369,-8.66414,158.22594
1.7789,4.75338,-8.66506,158.22537
1.7882,4.75712,-8.66237,158.20677
1.7991,4.76045,-8.66307,158.18118
1.8120,4.76070,-8.66742,158.16667
1.8180,4.76050,-8.67010,158.16019
1.8384,4.75821,-8.66665,158.18648
1.8385,4.75920,-8.65448,158.21516
1.8462,4.76563,-8.63832,158.21681
1.8564,4.77336,-8.62743,158.19402
1.8659,4.77993,-8.62413,158.15736
1.8760,4.78384,-8.62578,158.12503
1.8869,4.78046,-8.63214,158.13029
1.8963,4.77401,-8.64249,158.14546
1.9067,4.76449,-8.65064,158.18889
1.9166,4.75285,-8.65700,158.25273
1.9266,4.74699,-8.66484,158.27138
1.9379,4.75190,-8.66632,158.23224
1.9467,4.76250,-8.66323,158.16617
1.9627,4.76811,-8.65698,158.14485
1.9657,4.76815,-8.64860,158.16901
1.9747,4.76716,-8.63943,158.20276
1.9853,4.76528,-8.63262,158.23590
1.9952,4.76479,-8.63022,158.24634
2.0051,4.76665,-8.62943,158.23555
2.0153,4.76697,-8.63381,158.22052
2.0259,4.76796,-8.64046,158.19414
2.0351,4.77284,-8.65024,158.13107
2.0450,4.77617,-8.65886,158.08232
2.0549,4.77589,-8.66204,158.07497
2.0654,4.76596,-8.66341,158.14116
2.0920,4.76279,-8.66335,158.16377
2.0923,4.76395,-8.65930,158.16736
2.0947,4.76139,-8.64947,158.21428
2.1036,4.75722,-8.63816,158.27666
2.1128,4.75857,-8.63192,158.28532
2.1239,4.76517,-8.62890,158.24751
2.1337,4.77117,-8.62726,158.20993
2.1442,4.77242,-8.62734,158.20091
2.1537,4.78213,-8.62841,158.12939
2.1646,4.79157,-8.63186,158.05289
2.1741,4.78681,-8.64544,158.04666
2.1901,4.76731,-8.67422,158.09982
2.1987,4.75919,-8.69144,158.10667
2.2157,4.75746,-8.70393,158.08212
2.2186,4.76214,-8.70721,158.03909
2.2283,4.77813,-8.70292,157.93822
2.2389,4.79367,-8.69181,157.86108
2.2480,4.79950,-8.67935,157.85692
2.2579,4.79690,-8.66962,157.90416
2.2675,4.78581,-8.66669,157.99113
2.2782,4.77293,-8.67170,158.06741
2.2881,4.76651,-8.67779,158.09499
2.2982,4.77321,-8.67820,158.04626
2.3076,4.78524,-8.67474,157.97137
2.3193,4.79370,-8.67070,157.92358
2.3375,4.80274,-8.66601,157.87357
2.3379,4.81455,-8.66037,157.80713
2.3458,4.81130,-8.66327,157.82138
2.3554,4.79743,-8.67404,157.88727
2.3652,4.79236,-8.68165,157.90051
2.3751,4.79765,-8.68166,157.86307
2.3859,4.80065,-8.67944,157.84853
2.3969,4.79399,-8.67893,157.89709
2.4066,4.79026,-8.68015,157.91980
2.4158,4.78916,-8.68306,157.91902
2.4257,4.79022,-8.68116,157.91711
2.4351,4.79612,-8.67901,157.88184
2.4466,4.79605,-8.67508,157.89395
2.4757,4.79535,-8.67433,157.90108
2.4760,4.80138,-8.68275,157.83351
2.4773,4.80385,-8.69506,157.77936
2.4842,4.80469,-8.70572,157.74158
2.4943,4.80974,-8.71200,157.68698
2.5041,4.81474,-8.71684,157.63701
2.5134,4.81525,-8.71595,157.63608
2.5239,4.81389,-8.71696,157.64264
2.5338,4.81339,-8.71946,157.63866
2.5439,4.81226,-8.72079,157.64270
