id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise,angle
0,10.000000,10.000000,1.781074,0.352469,3.562147,0,1.358903,36.104847,0.657365,0.968607,6.501192
1,10.000000,10.000000,2.113058,0.496113,4.226116,0,1.729222,2.437007,0.340778,0.753291,8.348231
3,10.000000,10.000000,1.905377,0.403385,3.810754,0,1.451182,39.191219,0.613838,1.427092,6.573306
4,10.000000,10.000000,2.074069,0.477973,4.148138,0,1.764868,2.363248,0.328080,0.689129,8.463497
5,10.000000,10.000000,1.889983,0.396893,3.779966,0,1.477651,0.564987,0.700670,1.894402,6.127286
6,10.000000,10.000000,2.063775,0.473241,4.127549,0,1.691841,2.016812,0.335909,0.457675,8.453810
8,10.000000,10.000000,2.029885,0.457826,4.059770,0,1.643181,6.203015,0.440077,1.113802,7.434827
10,10.000000,10.000000,2.078983,0.480241,4.157966,0,1.796764,1.345844,0.272930,0.129497,9.203369
11,10.000000,10.000000,1.921148,0.410090,3.842297,0,1.577539,42.252186,0.561628,1.420358,6.658669
19,10.000000,10.000000,1.709443,0.324689,3.418887,0,1.364456,6.037403,0.557128,0.028579,6.988846
20,10.000000,10.000000,1.890878,0.397269,3.781756,0,1.538530,2.574659,0.409198,0.175242,7.846760
21,10.000000,10.000000,2.129256,0.503748,4.258512,0,1.801556,1.608574,0.286598,0.415529,9.010798
23,10.000000,10.000000,1.883091,0.394004,3.766182,0,1.581895,20.620554,0.531563,1.133736,6.840293
24,10.000000,10.000000,1.913551,0.406853,3.827103,0,1.588917,1.826833,0.360098,0.265111,8.217416
25,10.000000,10.000000,2.017462,0.452239,4.034925,0,1.704587,1.555888,0.309673,0.090545,8.747479
27,10.000000,10.000000,1.925484,0.411943,3.850968,0,1.264396,399.045929,0.766257,0.692814,6.189682
30,10.000000,10.000000,1.946763,0.421099,3.893527,0,1.697577,1.627412,0.315609,0.152306,8.679296
0,9.885691,10.486891,1.780298,0.351824,3.562147,1,1.491760,0.588598,0.283217,0.731038,10.619314
1,9.990471,10.009898,2.081259,0.456066,4.226116,1,1.813091,0.454536,0.182609,0.665415,12.885847
3,9.884859,10.477935,1.904479,0.402590,3.810754,1,1.564494,0.753833,0.284465,1.055130,10.428086
4,9.991772,10.008541,2.048519,0.439153,4.148138,1,1.817779,0.483947,0.186369,0.643305,12.729309
6,10.003570,9.996515,2.028169,0.429187,4.127549,1,1.736139,0.383762,0.184448,0.463840,12.939725
8,9.914398,10.137985,2.019707,0.445943,4.059770,1,1.696995,0.708580,0.242714,0.949294,11.134776
10,10.047503,9.960477,2.038483,0.412689,4.157966,1,1.872460,0.310439,0.146892,0.255398,14.357533
11,9.885739,10.487504,1.920521,0.409343,3.842297,1,1.598867,1.182636,0.316480,1.214219,9.706532
13,10.000000,10.000000,1.672678,0.310873,3.345357,0,1.270719,8.334485,0.632596,2.124755,7.168112
15,10.000000,10.000000,1.572389,0.274712,3.144778,0,1.277841,1.834121,0.496092,1.412670,8.145529
16,10.000000,10.000000,1.644899,0.300632,3.289798,0,1.304478,16.334406,0.652795,1.679752,6.976150
17,10.000000,10.000000,1.433226,0.228237,2.866452,0,1.165875,1.454244,0.538061,0.945077,8.061099
18,10.000000,10.000000,1.761508,0.344768,3.523016,0,1.355145,5.388146,0.553322,1.932906,7.513376
19,9.899129,10.188316,1.703302,0.318979,3.418887,1,1.509744,0.373745,0.234574,0.179764,11.675963
20,9.966170,10.039495,1.869141,0.373311,3.781756,1,1.669517,0.347331,0.190136,0.279324,12.799681
21,10.033144,9.970995,2.087632,0.441282,4.258512,1,1.878499,0.365556,0.156525,0.446542,13.915877
23,9.879492,10.368434,1.881699,0.392189,3.766182,1,1.587827,1.061827,0.309810,1.024865,9.861147
24,9.999450,10.000522,1.884019,0.370716,3.827103,1,1.725383,0.286686,0.165240,0.018567,13.566576
25,10.025737,9.976693,1.980418,0.399932,4.034925,1,1.789684,0.313917,0.160494,0.235686,13.798029
27,9.939634,10.785735,1.925435,0.411912,3.850968,1,1.443843,0.538402,0.290187,0.544437,10.565311
30,10.016360,9.984628,1.920298,0.377030,3.893527,1,1.736227,0.338699,0.175198,0.266492,13.266829
0,9.974509,10.415927,1.718848,0.279754,3.562147,2,1.504328,0.239939,0.197372,0.703423,14.319935
1,10.145879,9.918031,1.996784,0.316612,4.226116,2,1.810420,0.222035,0.135157,0.630025,17.067928
3,9.961504,10.414217,1.838290,0.327666,3.810754,2,1.573561,0.314964,0.203429,0.936031,13.855337
4,10.142184,9.918323,1.979850,0.311283,4.148138,2,1.806837,0.237178,0.139675,0.589394,16.741301
7,10.000000,10.000000,1.063063,0.125567,2.126126,0,0.839505,1.621811,0.861597,1.126421,7.421244
8,10.014316,10.065608,1.946798,0.348966,4.059770,2,1.684223,0.323514,0.181731,0.828703,14.525337
10,10.245752,9.858592,1.976065,0.259553,4.157966,2,1.873279,0.149475,0.105843,0.307218,19.407621
11,9.925290,10.449876,1.877039,0.355713,3.842297,2,1.578231,0.473166,0.237397,1.024743,12.529429
13,9.887098,10.251135,1.668195,0.307450,3.345357,1,1.272021,0.997383,0.431379,1.745489,9.396585
14,10.000000,10.000000,1.197984,0.159463,2.395967,0,0.822095,0.181720,1.310072,2.332186,6.019277
15,9.963646,10.042934,1.554801,0.258674,3.144778,1,1.279630,0.474078,0.340610,1.223784,10.841795
16,9.879541,10.375684,1.643405,0.299320,3.289798,1,1.263760,1.439600,0.477590,1.364570,8.843392
17,9.967575,10.037581,1.416425,0.214221,2.866452,1,1.179796,0.349040,0.351467,0.886697,10.977602
18,9.906492,10.161589,1.752551,0.337307,3.523016,1,1.332588,0.979013,0.399373,1.599054,9.655548
19,10.030849,10.101089,1.649129,0.231597,3.418887,2,1.528239,0.152966,0.157731,0.303213,16.118317
20,10.127031,9.945152,1.803803,0.253612,3.781756,2,1.682798,0.155174,0.132219,0.362494,17.480417
23,9.926965,10.325456,1.839258,0.337111,3.766182,2,1.558189,0.431029,0.234348,0.861314,12.700216
