id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise,angle,ang
88,10.000000,10.000000,0.816963,0.074159,1.633925,1,0.847265,0.000001,0.000000,1.509268,14.648508,90.150397
90,10.000000,10.000000,0.860873,0.082345,1.721747,1,0.886158,0.000001,0.000000,1.137372,18.565127,90.225013
94,10.000000,10.000000,0.983800,0.107540,1.967599,1,1.013554,0.000001,0.000000,0.944693,20.121326,89.868988
106,10.000000,10.000000,0.997295,0.110511,1.994590,1,1.036451,0.000001,0.000000,0.394217,44.952568,90.122179
88,10.275832,9.884071,0.838296,0.022140,1.633925,2,0.848349,0.000001,0.000000,1.437367,15.214955,90.113100
90,10.276650,9.883953,0.878687,0.024465,1.721747,2,0.887518,0.000001,0.000000,1.080559,19.323690,90.183059
94,10.276570,9.883968,1.004761,0.031966,1.967599,2,1.013669,0.000001,0.000000,0.896138,20.944316,89.845374
106,10.275567,9.884109,1.024856,0.033044,1.994590,2,1.039082,0.000001,0.000000,0.381330,47.255675,90.058406
116,10.000000,10.000000,1.198664,0.159644,2.397328,1,1.228996,0.000001,0.000000,0.442508,39.052414,89.740619
94,10.780665,9.777248,1.012066,0.005763,1.967599,3,1.013945,0.000001,0.000000,0.858547,21.706780,89.784895
106,10.778019,9.777210,1.036512,0.005999,1.994590,3,1.042736,0.000001,0.000000,0.370215,49.296815,89.953857
119,10.000000,10.000000,0.943790,0.098971,1.887581,1,0.990167,0.000001,0.000000,1.069936,18.287292,89.949536
124,10.000000,10.000000,0.907563,0.091519,1.815126,1,0.937649,0.000001,0.000000,0.587439,27.873487,90.522286
94,11.532598,9.716867,1.013793,0.000466,1.967599,4,1.014068,0.000001,0.000000,0.833039,22.392286,89.774976
106,11.528011,9.716459,1.042229,0.000492,1.994590,4,1.044681,0.000001,0.000000,0.358904,51.141028,89.913211
116,10.277020,9.883915,1.220040,0.047330,2.397328,3,1.229426,0.000001,0.000000,0.419389,42.252077,89.645646
124,10.276254,9.883989,0.928752,0.027251,1.815126,2,0.938228,0.000001,0.000000,0.550515,29.511788,90.446220
106,12.451223,9.697765,1.044619,0.000012,1.994590,5,1.047749,0.000001,0.000000,0.347881,52.779241,89.870601
116,10.781631,9.777222,1.227740,0.008516,2.397328,4,1.231629,0.000001,0.000000,0.414385,43.606517,89.629182
124,10.779896,9.777212,0.936522,0.004921,1.815126,3,0.941739,0.000001,0.000000,0.517374,30.993272,90.379295
125,10.000000,10.000000,1.024977,0.116731,2.049954,1,1.055833,0.000001,0.000000,0.258450,44.690905,89.630451
106,13.433401,9.693739,1.047498,0.000001,1.994590,6,1.047231,0.000001,0.000000,0.340722,54.322450,89.846629
116,11.533998,9.716976,1.231315,0.000688,2.397328,5,1.228068,0.000001,0.000000,0.413141,44.852007,89.627644
124,11.530968,9.716675,0.941316,0.000401,1.815126,4,0.940057,0.000001,0.000000,0.492645,32.384674,90.309544
106,14.428547,9.692756,1.047353,0.000000,1.994590,7,1.045612,0.000001,0.000000,0.337545,55.768105,89.860950
116,12.458355,9.698583,1.228146,0.000017,2.397328,6,1.226075,0.000001,0.000000,0.416551,45.979651,89.671451
132,10.000000,10.000000,0.921773,0.094407,1.843545,1,0.945115,0.000001,0.000000,0.461403,32.881070,89.865929
134,10.000000,10.000000,0.914117,0.092846,1.828234,1,0.926428,0.000001,0.000000,0.349948,37.919321,89.695642
135,10.000000,10.000000,0.889251,0.087863,1.778503,1,0.913477,0.000001,0.000000,0.215619,44.868722,89.453234
132,10.277048,9.883945,0.938222,0.027990,1.843545,2,0.945065,0.000001,0.000000,0.456509,35.017175,89.887479
134,10.277815,9.883871,0.922799,0.027407,1.828234,2,0.926115,0.000001,0.000000,0.354688,40.519264,89.700250
106,15.417963,9.690754,1.046793,0.000000,1.994590,10,1.045753,0.000001,0.000000,0.326666,59.486140,89.896367
134,10.783519,9.777378,0.925520,0.004914,1.828234,3,0.928051,0.000001,0.000000,0.357533,42.865208,89.782288
141,10.000000,10.000000,0.851195,0.080504,1.702389,1,0.862231,0.000001,0.000000,0.303189,39.790815,89.670419
106,16.412668,9.689805,1.046519,0.000000,1.994590,11,1.047523,0.000001,0.000000,0.323129,60.533957,89.964099
141,10.277869,9.883900,0.858977,0.023761,1.702389,2,0.864247,0.000001,0.000000,0.312211,42.578199,89.869199
106,17.407892,9.689093,1.046783,0.000000,1.994590,12,1.049194,0.000001,0.000000,0.327390,61.531313,89.966098
134,11.536749,9.717300,0.927847,0.000396,1.828234,5,0.932674,0.000001,0.000000,0.367552,46.865485,89.898121
141,10.783403,9.777343,0.863302,0.004264,1.702389,3,0.865854,0.000001,0.000000,0.326846,45.135551,89.864791
106,18.369078,9.683628,1.047038,0.000000,1.994590,13,1.051070,0.000001,0.000000,0.336568,62.493994,89.960401
