id,z,znoise,tau
0,0.750415,1.492787,-0.962042
1,0.581090,1.050413,-0.816754
4,0.565243,0.983444,-0.803511
6,0.591850,0.418834,-0.827609
8,0.605460,1.806239,-0.827981
10,0.562762,0.191858,-0.802252
19,0.754443,0.524260,-0.965295
20,0.667233,0.199374,-0.889092
21,0.558482,0.381042,-0.801568
24,0.647567,1.160228,-0.863817
25,0.593985,0.320747,-0.826119
29,0.480713,0.515042,-0.746275
30,0.589301,0.068163,-0.823366
0,0.735888,0.968607,-1.462460
1,0.578295,0.753291,-1.811146
3,0.689094,1.427092,-1.408114
4,0.566615,0.689129,-1.855044
5,0.676750,1.894402,-1.304099
6,0.591072,0.457675,-1.893613
8,0.608576,1.113802,-1.491849
10,0.556556,0.129497,-2.496094
11,0.633899,1.420358,-1.338614
15,0.899272,2.212082,-1.419663
16,0.743685,1.761089,-1.239799
17,0.990446,1.475044,-1.520124
19,0.732893,0.028579,-1.549334
20,0.649971,0.175242,-1.690451
21,0.555076,0.415529,-2.270823
23,0.632153,1.133736,-1.375528
24,0.629360,0.265111,-1.794031
25,0.586652,0.090545,-2.076446
27,0.790891,0.692814,-1.479653
30,0.589075,0.152306,-2.033674
0,0.670349,0.731038,405.913099
1,0.551544,0.665415,0.884187
3,0.639184,1.055130,-20.338135
4,0.550122,0.643305,0.997402
6,0.575991,0.463840,0.863190
7,1.204841,1.134035,-2.081704
8,0.589277,0.949294,6.195266
11,0.625443,1.214219,-4.553719
13,0.786956,2.124755,-1.903201
14,1.228038,2.828819,-1.921242
15,0.782570,1.412670,-2.411205
16,0.766590,1.679752,-1.796288
17,0.857725,0.945077,-2.515482
18,0.737928,1.932906,-1.945789
19,0.662364,0.179764,2.822144
20,0.598976,0.279324,0.972128
23,0.629792,1.024865,-5.389637
27,0.692596,0.544437,-99.372253
30,0.575962,0.266492,0.667049
7,1.191178,1.126421,-3.007395
9,1.304733,3.598720,-2.215755
11,0.633621,1.024743,1.448056
13,0.786151,1.745489,-4.578412
14,1.216405,2.332186,-2.403539
15,0.781476,1.223784,19.749811
16,0.791289,1.364570,-3.392665
17,0.847604,0.886697,12.738191
18,0.750419,1.599054,-5.437014
23,0.641771,0.861314,1.277545
32,0.557035,0.357637,-0.890372
33,0.524500,0.054144,-0.890369
34,0.530385,0.056773,-0.890057
35,0.551985,0.166798,-0.900880
7,1.187193,1.189225,-6.156885
9,1.290709,3.145181,-2.651788
13,0.763753,1.508704,3.720014
14,1.206625,2.161237,-3.233955
16,0.769441,1.109885,8.144774
18,0.728501,1.354404,2.495421
28,1.392051,3.946169,-2.484431
32,0.528916,0.416829,185.282789
33,0.506144,0.282441,2.000874
34,0.506014,0.311997,2.469147
35,0.540350,0.403032,8.468003
7,1.151712,1.141503,9.487842
9,1.221891,2.718050,-3.413756
16,0.744033,1.015278,0.899357
28,1.301427,3.305668,-2.898002
7,1.139184,1.092217,1.513777
28,1.261197,2.888929,-3.697254
36,0.499293,0.724762,-1.056516
37,0.576459,0.444905,-1.055477
40,0.522885,0.377162,-1.064378
41,0.529543,0.837148,-1.028768
28,1.253902,2.572028,-5.426674
37,0.623688,0.478688,1.467860
39,0.760705,1.537863,-2.661207
41,0.569399,0.656634,1.123570
28,1.205659,2.272382,-11.497095
38,0.557377,1.273574,2.426034
39,0.752543,1.189263,2.218670
43,0.480167,0.918845,-1.238272
28,1.156972,2.092706,184.713676
45,0.457268,0.980096,0.703566
46,1.012871,2.893897,-1.657599
28,1.160452,2.012718,15.268668
44,0.674747,1.986952,-3.858566
46,1.009426,1.503536,-2.788934
49,0.476232,1.387377,-1.044138
50,0.510283,0.509098,-1.284706
51,0.541207,0.225388,-1.364674
52,0.548533,1.209841,-1.167655
53,0.409564,0.443307,-1.766590
28,1.158101,1.901477,7.473316
44,0.687903,1.644262,5.285570
46,1.052985,1.263124,-6.705610
47,0.710547,2.150317,-4.317623
49,0.484897,0.772393,0.986365
52,0.547335,0.775482,1.033788
55,0.628613,0.860485,-1.191901
56,0.617263,1.090249,-1.088845
57,0.547000,0.658843,-1.264236
58,0.589150,0.020976,-1.310681
28,1.149886,1.813996,4.568705
44,0.693978,1.408977,0.897553
47,0.706248,1.835474,14.637448
55,0.623728,0.590055,1.740526
56,0.616434,0.749450,-9.724918
59,0.557973,0.242474,-1.412489
60,0.569858,1.567272,-1.119546
62,0.568346,0.501571,-1.230588
63,0.558896,0.342114,-1.321241
64,0.617079,1.476217,-1.164911
28,1.151769,1.733804,3.061267
47,0.725140,1.628997,2.226489
60,0.605268,0.979962,2.853961
61,1.035507,1.869813,-2.048700
62,0.601165,0.375819,0.867479
64,0.654029,0.949044,3.805312
28,1.149950,1.668253,2.173306
47,0.729757,1.481154,0.842061
